Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		
UV 1_280		UV 2_0		UV 3_0		Cond		Conc B		pH		System flow		System linear flow		System pressure		Fraction		Injection		Cond temp		Sample flow		Sample linear flow		Run Log		Sample pressure		PreC pressure		DeltaC pressure		PostC pressure		Frac temp		
ml	mAU	ml	mAU	ml	mAU	ml	mS/cm	ml	%	ml		ml	ml/min	ml	cm/h	ml	MPa	ml	Fraction	ml	Injection	ml	°C	ml	ml/min	ml	cm/h	ml	Logbook	ml	MPa	ml	MPa	ml	MPa	ml	MPa	ml	°C	
-57.853	0.1255268	-57.853	0	-57.853	0	-57.853	94.38538	-57.853	0	-57.853	0	-57.853	0	-57.853	0	-57.853	0.004015822	57.85264	"2.A.3"	57.85264	""	-57.853	27.194	-57.853	0	-57.853	0	0	"Method Run 2/20/2025 7:42:18 PM -08:00 Method: 20250220_CHT_flowthrough_5ml column Result: /DefaultHome/PD Results and Project specific methods/SI-50E15/CHT Development/20250220_CHT flowthrough dev_DN 496-500/DN 500 005 User wboyle at computer FRY is in control"	-57.853	0.01088844	-57.853	-0.002939348	-57.853	-0.0001106385	-57.853	-0.002828711	-57.853	20	
-57.848	0.1255268	-57.842	0	-57.842	0	-57.848	94.38538	-57.832	0	-57.832	0	-57.832	0	-57.832	0	-57.842	0.004015822	87.69746	"Waste(Frac)"			-57.811	27.194	-57.832	0	-57.832	0	0	"Batch ID: 304b25bb-ba2d-4e7c-a703-e5e6d8a60f79"	-57.842	0.01088844	-57.832	-0.002939348	-57.832	-0.0001106385	-57.832	-0.002828711	-57.811	20	
-57.844	1.609037	-57.832	0	-57.832	0	-57.844	94.35868	-57.811	0	-57.811	0	-57.811	0.4663407	-57.811	33.45403	-57.832	0.01042835	87.70061	"2.B.1"			-57.77	27.64504	-57.811	0	-57.811	0	0	"Base CV, Vc=5.027 {ml}, Foresight CHT XT"	-57.832	0.0100303	-57.811	-0.00131069	-57.811	0.001598839	-57.811	-0.002977692	-57.77	20	
-57.84	1.585073	-57.822	0	-57.822	0	-57.84	94.32816	-57.79	0	-57.79	0	-57.79	1.010382	-57.79	103.0734	-57.822	0.02150602	92.6179	"Waste(Frac)"			-57.728	27.65953	-57.79	0	-57.79	0	0	"The method flow is now calculated based on the system flow. (System)"	-57.822	0.01000731	-57.79	0.01841168	-57.79	0.01228662	-57.79	0.01585657	-57.728	20	
-57.836	1.568123	-57.811	0	-57.811	0	-57.836	94.19804	-57.77	0	-57.77	0	-57.77	1.250148	-57.77	148.691	-57.811	0.06016148	118.4908	"4.A.5"			-57.687	27.65535	-57.77	0	-57.77	0	0	"Phase Method Settings (Issued) (Processing) (Completed)"	-57.811	0.01015711	-57.77	0.06993763	-57.77	0.03240959	-57.77	0.04688504	-57.687	20	
-57.832	1.576065	-57.801	0	-57.801	0	-57.832	94.19495	-57.749	0	-57.749	0	-57.749	1.256639	-57.749	150.0002	-57.801	0.09359492	120.1893	"Waste(Frac)"			-57.645	27.63254	-57.749	0	-57.749	0	0	"Base SameAsMain"	-57.801	0.01024579	-57.749	0.1125838	-57.749	0.05060427	-57.749	0.06472468	-57.645	20	
-57.828	1.584898	-57.79	0	-57.79	0	-57.828	94.18058	-57.728	0	-57.728	0	-57.728	1.256639	-57.728	150.0002	-57.79	0.1157713					-57.604	27.60524	-57.728	0	-57.728	0	0	"Alarm pre column pressure Enabled 1.00 {MPa} 0.00 {MPa} (Issued) (Processing)"	-57.79	0.01017521	-57.728	0.1247587	-57.728	0.05568146	-57.728	0.0690744	-57.604	20	
-57.824	1.591633	-57.78	0	-57.78	0	-57.824	94.15816	-57.708	0	-57.708	0	-57.708	1.256639	-57.708	150.0002	-57.78	0.1291046					-57.562	27.57265	-57.708	0	-57.708	0	0	"Alarm pre column pressure Enabled 1.00 {MPa} 0.00 {MPa} (Completed)"	-57.78	0.01018376	-57.708	0.124717	-57.708	0.05511196	-57.708	0.06954153	-57.562	20	
-57.819	1.607133	-57.77	0	-57.77	0	-57.819	94.14016	-57.687	0	-57.687	0	-57.687	1.256639	-57.687	150.0002	-57.77	0.1338776					-57.521	27.53104	-57.687	0	-57.687	0	0	"Alarm delta column pressure Enabled 1.00 {MPa} 0.00 {MPa} (Issued) (Processing)"	-57.77	0.01018219	-57.687	0.1243634	-57.687	0.05458864	-57.687	0.06961469	-57.521	20	
-57.815	1.584434	-57.759	0	-57.759	0	-57.815	94.13334	-57.666	0	-57.666	0	-57.666	1.256639	-57.666	150.0002	-57.759	0.1341152					-57.479	27.48398	-57.666	0	-57.666	0	0	"Alarm delta column pressure Enabled 1.00 {MPa} 0.00 {MPa} (Completed)"	-57.759	0.0101799	-57.666	0.1238184	-57.666	0.05467807	-57.666	0.06968497	-57.479	20	
