BatchId;PDatTime;ProcessTime;AG2100;AG2100;AG2100;AG2100;DPRESS;DPRESS;DPRESS;DPRESS;F_PERM;P2500;P2500;P2500;P2500;P3000;P3000;P3000;P3000;P3000_T;PIR2600;PIR2700;PIRC2500;PIRC2500;PIRC2500;PIRC2500;QIR2000;QIR2100;TIR2100;TMP;WIR2700;WIRC2100;WIRC2100;WIRC2100;WIRC2100
;;Value;Value;Setpoint;Mode;Output;Value;Output;Mode;Setpoint;Value;Setpoint;Value;Output;Mode;Setpoint;Mode;Output;Value;Value;Value;Value;Output;Value;Setpoint;Mode;Value;Value;Value;Value;Value;Value;Output;Setpoint;Mode
;;hours;rpm;rpm;;%;bar;%;;bar;g/min;%;%;%;;%;;%;%;g;bar;bar;%;bar;bar;;x;ms/cm;°C;bar;g;g;%;g;

UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:47:40 AM;0.0015;200;200;1;20;-0.0359999999999999;0;0;-1;0;10;10;5;3;100;2;100;100;0;0.363;-0.17;0;0.333;0.6665;0;0;0;20.925;0.6215;1287.807829;161.6;100;900;1
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:47:45 AM;0.00288888888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;176.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:47:50 AM;0.00428055555555556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;197.1;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:47:55 AM;0.00567222222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;211.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:00 AM;0.00706388888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;226;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:05 AM;0.00845555555555555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;241.6;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:10 AM;0.00984722222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;259.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:15 AM;0.0112361111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:20 AM;0.0126277777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;274.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:25 AM;0.0140222222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;289.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:30 AM;0.0154138888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;307;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:35 AM;0.0168055555555556;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1281.882908;322.3;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:40 AM;0.0181972222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3180.932587;337.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:45 AM;0.0195888888888889;;;;;;;;;-0.29;;;;;;;;;;;;;;;;;;;;1283.832882;355.3;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:50 AM;0.0209805555555556;;;;;;;;;-10.86;;;;;;;;;;;;;;;;;;;;;370.1;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:48:55 AM;0.0223694444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;385.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:00 AM;0.0237611111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;403.3;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:05 AM;0.0251555555555556;;;;;;;;;-10.86;;;;;;;;;;;;;;;;;;;;;418.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:10 AM;0.0265444444444444;;;;;;;;;-0.29;;;;;;;;;;;;;;;;;;;;;433.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:15 AM;0.0279388888888889;;;;;;;;;;10;10;;;;;;;;;;;;;;;;;;;448.6;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:20 AM;0.0293277777777778;;;;;;;;;;0;0;;;;;;;;0.3785;;;;;;;;;;;468;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:25 AM;0.0307166666666667;;;;;0.00299999999999989;;;;;;;;;;;;;;0.292;;;0.308;;;;;;0.5865;;482.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:30 AM;0.0321083333333333;;;;;0.1245;;;;;;;;;;;;;;-0.1335;;;-0.0215000000000001;;;;;;0.105;;497.8;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:35 AM;0.0335;;;;;0.1735;;;;;;;;;;;;;;;;;0.0170000000000001;;;;;;0.1275;;510.9;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:40 AM;0.0348916666666667;;;;;0.5955;;;;;;;;;;;;;;;;;0.382;;;;;;0.351;;524;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:45 AM;0.0362833333333333;;;;;0.702;;;;;;;;;;;;;;;;;0.4665;;;;;;0.408;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:50 AM;0.037675;;;;;;;;;0;;;;;100;;100;;;;;;;;;;;;;;527.5;100;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:49:55 AM;0.0390666666666667;;;;;;;;;4.57;;;;;0;;0;100;;;;;;;;;;;;;1435.7;0;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:00 AM;0.0404611111111111;;;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;1895.2;0;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:05 AM;0.04185;;;;;;;;;;;;;;100;;100;100;;;;;;;;;;;;;541.1;100;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:10 AM;0.0432388888888889;;;;;;;;;4.57;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:15 AM;0.0446305555555556;;;;;;;;;9.71;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:25 AM;0.0474083333333333;;;;;0.7445;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:30 AM;0.0488027777777778;;;;;0.7535;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:35 AM;0.0501944444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;543.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:40 AM;0.0515861111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;519.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:45 AM;0.0529777777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;538.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:50 AM;0.0543722222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;549.2;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:50:55 AM;0.0557611111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562.9;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:05 AM;0.0585444444444444;;;;;0.74;;;;;;;;;;;;;;;;;0.464;;;;;;0.384;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:10 AM;0.0599333333333333;;;;;0.5795;;;;;;;;;;;;;;;;;0.3125;;;;;;0.304;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:15 AM;0.0613222222222222;;;;;0.5795;;;;8.86;;;;;;;;;;;;;0.3125;;;;;;0.304;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:20 AM;0.0627138888888889;;;;;0.756;;;;3.71;;;;;;;;;;;;;0.481;;;;;;0.3915;;559.8;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:25 AM;0.0641027777777778;;;;;0.811;;;;;;;;;;;;;;;;;0.5215;;;;;;;;795.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:30 AM;0.0654916666666667;;;;;;;;;;;;;;;;;;;;;;0.537;;;;;;;;562;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:35 AM;0.0668833333333333;;;;;;;;;3.71;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:40 AM;0.068275;;;;;;;;;2.29;;;;;;;;;;;;;;;;;;;;1301.007653;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:45 AM;0.0696666666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2227.995293;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:50 AM;0.0710555555555556;;;;;0.839;;;;;;;;;;;;;;;;;0.543;;;;;;0.4335;1291.182784;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:51:55 AM;0.0724472222222222;;;;;0.281;;;;2.29;;;;;;;;;;;;;0.0449999999999999;;;;;;0.151;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:00 AM;0.0738416666666667;;;;;0.696;;;;-29.43;;;;;;;;;;;;;0.446;;;;;;0.3525;;552.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:05 AM;0.0752333333333333;;;;;0.8535;;;;;;;;;;;;;;;;;0.5585;;;;;;0.4685;;551.3;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:10 AM;0.076625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1259.23321;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:15 AM;0.0780138888888889;;;;;;;;;-29.43;;;;;;;;;;;;;;;;;;;;1426.930974;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:20 AM;0.0794055555555555;;;;;;;;;399.71;;;5;;;;;;;;;;0.576;;;;;;;1268.533086;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:25 AM;0.0808;;;;;0.814;;;;;;;0;3;;;;;;;;;0.507;;;;;;0.4185;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:30 AM;0.0821916666666667;;;;;0.1935;;;;;;;;0;;;;;;;;;-0.00249999999999995;;;;;;0.108;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:35 AM;0.0835833333333333;;;;;0.0549999999999999;;;;399.71;;;;;;;;;;;;;-0.1115;;;;;;0.0385;;544.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:40 AM;0.0849722222222222;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;562.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:45 AM;0.0863638888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;562.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:50 AM;0.0877555555555556;;;;;0.00750000000000006;;;;;;;;;;;;;;;;;;;;;;;;;576.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:52:55 AM;0.0891472222222222;;;;;0.00150000000000006;;;;;;;;;;;;;;;;;;;;;;;;;591.6;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:00 AM;0.0905388888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;599.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:05 AM;0.0919333333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;617;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:10 AM;0.0933222222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;632.8;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:15 AM;0.0947138888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;646.6;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:20 AM;0.0961027777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665.1;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:25 AM;0.0974944444444444;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;680;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:30 AM;0.0988833333333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;694.2;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:35 AM;0.100275;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;712.2;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:40 AM;0.101663888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;727.1;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:45 AM;0.103055555555556;;;;;;;;;;;;;;100;;100;100;;;;;;;;;;;;;764.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:50 AM;0.104447222222222;;;;;;;;;;;;;;0;;0;0;;;;;;;;;;;;;760.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:53:55 AM;0.105838888888889;;;;;;;;;;;;;;100;;100;100;;;;;;;;;;;;;734.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:01 AM;0.107233333333333;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;734.6;100;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:06 AM;0.108622222222222;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;946.3;0;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:11 AM;0.110013888888889;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;946.3;0;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:16 AM;0.111408333333333;;;;;;;;;;;;;;;;;100;;;;;;;;;;;;;866;100;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:21 AM;0.112797222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;843.2;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:26 AM;0.114188888888889;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;760.7;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:36 AM;0.116972222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;761.6;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:41 AM;0.118366666666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;839.9;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:46 AM;0.119758333333333;;;;;-0.014;;;;;0;0;0;0;;;;;;;;;-0.1545;;;;;;;;761.8;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:51 AM;0.121147222222222;;;;;0.106;;;;;15;15;15;1;;;;;;;;;0.0105;;;;;;0.0775000000000001;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:54:56 AM;0.122538888888889;;;;;2.275;;;;;;;;;;;;;;;;;1.7445;;;;;;1.1535;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:01 AM;0.123927777777778;;;;;2.292;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:06 AM;0.125319444444444;;;;;2.346;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:11 AM;0.126711111111111;;;;;2.294;;;;20.57;;;;;;;;;;;;;;;;;;;;;752.3;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:16 AM;0.1281;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750.1;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:26 AM;0.130880555555556;;;;;;;;;20.57;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:31 AM;0.132272222222222;;;;;2.287;;;;23.14;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:36 AM;0.133661111111111;;;;;2.23;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:41 AM;0.135052777777778;;;;;2.23;;;;;;;;;;;;;;;;;;;;;;;;;740.6;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:55:46 AM;0.136441666666667;;;;;2.282;;;;;;;;;;;;;;;;;;;;;;;;;739;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:11 AM;0.143397222222222;;;;;;;;;22.57;;;;;100;;100;100;;;;;;;;;;;;;729.5;100;900;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:16 AM;0.144788888888889;;;;;2.2345;;;;21.71;;;;;0;;0;0;;;;;;;;;;;;;727.7;0;500;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:21 AM;0.146177777777778;;;;;2.2315;;;;;;;;;;;;;;;;;1.7055;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:26 AM;0.147569444444444;;;;;;;;;;;;;;;;;;;;;;1.694;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:31 AM;0.148961111111111;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.106;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:36 AM;0.150352777777778;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.103;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:41 AM;0.151747222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;718;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:46 AM;0.153138888888889;;;;;2.2035;;;;;;;;;;;;;;;;;1.6745;;;;;;;;716.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:56:51 AM;0.154533333333333;;;;;2.1545;;;;;;;;;;;;;;;;;1.641;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:01 AM;0.157316666666667;;;;;2.1655;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:06 AM;0.158705555555556;;;;;2.206;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:11 AM;0.1601;;;;;2.206;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:16 AM;0.161491666666667;;;;;2.1515;;;;21.14;;;;;;;;;;;;;;;;;;;;;707.5;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:21 AM;0.162880555555556;;;;;2.1825;;;;20.57;;;;;;;;;;;;;;;;;;;;;705.4;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:26 AM;0.164275;;;;;2.2065;;;;;;;;;;;;;;;;;;;;;;;;;;;;
UFDF.20250219 SI50E15 CHT Load;2/19/2025 11:57:31 AM;0.165666666666667;;;;;2.169;;;;;;;;;;;;;;;;;;;;;;;;;;;;
